SSID,MAC Address,PHY Type,RSSI,Signal Quality,Average Signal Quality,Frequency,Channel,Information Size,Elements Count,Company,Router Model,Router Name,Security,Cipher,Maximum Speed,Channel Width,Channels Range,BSS Type,WPS Support,First Detection,Last Detection,Detection Count,Start Time,Minimum Signal Quality,Maximum Signal Quality
Linksys11131,C0-56-27-1B-F3-F4,802.11n,-42,91,91.0,2.412,1,297,14,Belkin International Inc.,Linksys E2500,Linksys E2500,None,None,144 Mbps,20 MHz,1 - 3,Infrastructure,Not Configured,4/19/2019 1:56:52 PM,4/19/2019 1:56:52 PM,1,4/19/2019 1:56:48 PM,91,91
FADER,C0-56-27-18-69-64,802.11n,-42,91,91.0,2.462,11,214,16,Belkin International Inc.,,,WPA-PSK + WPA2-PSK,TKIP+CCMP,144 Mbps,20 MHz,9 - 13,Infrastructure,No,4/19/2019 1:56:52 PM,4/19/2019 1:56:52 PM,1,4/19/2019 1:56:52 PM,91,91
Linksys07448,C0-56-27-1B-9D-C5,802.11n,-48,87,87.0,2.437,6,283,13,Belkin International Inc.,Linksys E2500,Linksys E2500,None,None,144 Mbps,20 MHz,4 - 8,Infrastructure,Not Configured,4/19/2019 1:56:52 PM,4/19/2019 1:56:52 PM,1,4/19/2019 1:56:48 PM,87,87
Linksys11131,C0-56-27-1B-F3-F5,802.11n,-49,86,86.0,5.220,44,326,10,Belkin International Inc.,Linksys E2500,Linksys E2500,None,None,300 Mbps,40 MHz,42 - 50,Infrastructure,Not Configured,4/19/2019 1:56:52 PM,4/19/2019 1:56:52 PM,1,4/19/2019 1:56:48 PM,86,86
FADER-guest,C0-56-27-18-69-66,802.11n,-50,85,85.0,2.462,11,160,13,Belkin International Inc.,,,None,None,144 Mbps,20 MHz,9 - 13,Infrastructure,No,4/19/2019 1:56:52 PM,4/19/2019 1:56:52 PM,1,4/19/2019 1:56:48 PM,85,85
FADER,C0-56-27-18-69-65,802.11n,-52,84,84.0,5.180,36,186,10,Belkin International Inc.,,,WPA-PSK + WPA2-PSK,TKIP+CCMP,144 Mbps,20 MHz,34 - 38,Infrastructure,No,4/19/2019 1:56:52 PM,4/19/2019 1:56:52 PM,1,4/19/2019 1:56:48 PM,84,84
WLANMTSU,D8-84-66-13-10-00,802.11ac,-56,81,81.0,5.745,149,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/19/2019 1:56:52 PM,4/19/2019 1:56:52 PM,1,4/19/2019 1:56:48 PM,81,81
WLANMTSU,D8-84-66-13-10-08,802.11n,-56,81,81.0,2.412,1,128,10,Extreme Networks,,,None,None,195 Mbps,20 MHz,1 - 3,Infrastructure,No,4/19/2019 1:56:52 PM,4/19/2019 1:56:52 PM,1,4/19/2019 1:56:48 PM,81,81
WLANMTSU,D8-84-66-12-51-60,802.11ac,-58,80,80.0,5.180,36,168,12,Extreme Networks,,,None,None,1170 Mbps,80 MHz,34 - 50,Infrastructure,No,4/19/2019 1:56:52 PM,4/19/2019 1:56:52 PM,1,4/19/2019 1:56:48 PM,80,80
Linksys07448,C0-56-27-1B-9D-C6,802.11n,-61,74,74.0,5.180,36,268,9,Belkin International Inc.,Linksys E2500,Linksys E2500,None,None,300 Mbps,40 MHz,34 - 42,Infrastructure,Not Configured,4/19/2019 1:56:52 PM,4/19/2019 1:56:52 PM,1,4/19/2019 1:56:48 PM,74,74
WLANMTSU,D8-84-66-12-81-B0,802.11ac,-73,34,34.0,5.220,44,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,42 - 58,Infrastructure,No,4/19/2019 1:56:52 PM,4/19/2019 1:56:52 PM,1,4/19/2019 1:56:48 PM,34,34
WLANMTSU,D8-84-66-12-E3-E0,802.11ac,-73,34,34.0,5.745,149,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/19/2019 1:56:52 PM,4/19/2019 1:56:52 PM,1,4/19/2019 1:56:48 PM,34,34
DIRECT-61-HP OfficeJet Pro 7720,1A-60-24-65-8C-61,802.11n,-78,24,24.0,2.462,11,468,14,,OfficeJet Pro 7720 Wide Format A,DIRECT-61-HP OfficeJet Pro 7720,WPA2-PSK,CCMP,72 Mbps,20 MHz,9 - 13,Infrastructure,Configured,4/19/2019 1:56:52 PM,4/19/2019 1:56:52 PM,1,4/19/2019 1:56:48 PM,24,24
WLANMTSU,D8-84-66-12-E4-00,802.11ac,-79,22,22.0,5.805,161,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/19/2019 1:56:52 PM,4/19/2019 1:56:52 PM,1,4/19/2019 1:56:49 PM,22,22
WLANMTSU,D8-84-66-13-15-A0,802.11ac,-79,22,22.0,5.745,149,168,12,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/19/2019 1:56:52 PM,4/19/2019 1:56:52 PM,1,4/19/2019 1:56:48 PM,22,22
DIRECT-99-HP M477 LaserJet,76-40-BB-75-35-99,802.11n,-80,20,20.0,2.437,6,281,13,,,,WPA2-PSK,CCMP,72 Mbps,20 MHz,4 - 8,Infrastructure,No,4/19/2019 1:56:52 PM,4/19/2019 1:56:52 PM,1,4/19/2019 1:56:48 PM,20,20
WLANMTSU,D8-84-66-13-0F-30,802.11ac,-84,12,12.0,5.745,149,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/19/2019 1:56:52 PM,4/19/2019 1:56:52 PM,1,4/19/2019 1:56:48 PM,12,12
WLANMTSU,D8-84-66-12-E3-40,802.11ac,-84,12,12.0,5.805,161,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/19/2019 1:56:52 PM,4/19/2019 1:56:52 PM,1,4/19/2019 1:56:49 PM,12,12
WLANMTSU,D8-84-66-13-12-A0,802.11ac,-85,10,10.0,5.220,44,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,42 - 58,Infrastructure,No,4/19/2019 1:56:52 PM,4/19/2019 1:56:52 PM,1,4/19/2019 1:56:48 PM,10,10
WLANMTSU,D8-84-66-12-81-E1,802.11ac,-86,8,8.0,5.745,149,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/19/2019 1:56:52 PM,4/19/2019 1:56:52 PM,1,4/19/2019 1:56:48 PM,8,8
WLANMTSU,D8-84-66-13-09-E0,802.11ac,-87,6,6.0,5.805,161,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/19/2019 1:56:52 PM,4/19/2019 1:56:52 PM,1,4/19/2019 1:56:49 PM,6,6
