SSID,MAC Address,PHY Type,RSSI,Signal Quality,Average Signal Quality,Frequency,Channel,Information Size,Elements Count,Company,Router Model,Router Name,Security,Cipher,Maximum Speed,Channel Width,Channels Range,BSS Type,WPS Support,First Detection,Last Detection,Detection Count,Start Time,Minimum Signal Quality,Maximum Signal Quality
FADER,C0-56-27-18-69-64,802.11n,-41,92,92.0,2.462,11,214,16,Belkin International Inc.,,,WPA-PSK + WPA2-PSK,TKIP+CCMP,144 Mbps,20 MHz,9 - 13,Infrastructure,No,4/19/2019 1:29:48 PM,4/19/2019 1:29:48 PM,1,4/19/2019 1:29:48 PM,92,92
FADER-guest,C0-56-27-18-69-66,802.11n,-41,92,92.0,2.462,11,166,14,Belkin International Inc.,,,None,None,144 Mbps,20 MHz,9 - 13,Infrastructure,No,4/19/2019 1:29:48 PM,4/19/2019 1:29:48 PM,1,4/19/2019 1:29:44 PM,92,92
Linksys11131,C0-56-27-1B-F3-F4,802.11n,-42,91,91.0,2.412,1,297,14,Belkin International Inc.,Linksys E2500,Linksys E2500,None,None,144 Mbps,20 MHz,1 - 3,Infrastructure,Not Configured,4/19/2019 1:29:48 PM,4/19/2019 1:29:48 PM,1,4/19/2019 1:29:45 PM,91,91
Linksys07448,C0-56-27-1B-9D-C5,802.11n,-47,87,87.0,2.437,6,340,15,Belkin International Inc.,Linksys E2500,Linksys E2500,None,None,144 Mbps,20 MHz,4 - 8,Infrastructure,Not Configured,4/19/2019 1:29:48 PM,4/19/2019 1:29:48 PM,1,4/19/2019 1:29:45 PM,87,87
Linksys11131,C0-56-27-1B-F3-F5,802.11n,-47,87,87.0,5.220,44,275,9,Belkin International Inc.,Linksys E2500,Linksys E2500,None,None,300 Mbps,40 MHz,42 - 50,Infrastructure,Not Configured,4/19/2019 1:29:48 PM,4/19/2019 1:29:48 PM,1,4/19/2019 1:29:45 PM,87,87
FADER,C0-56-27-18-69-65,802.11n,-53,83,83.0,5.180,36,186,10,Belkin International Inc.,,,WPA-PSK + WPA2-PSK,TKIP+CCMP,144 Mbps,20 MHz,34 - 38,Infrastructure,No,4/19/2019 1:29:48 PM,4/19/2019 1:29:48 PM,1,4/19/2019 1:29:45 PM,83,83
WLANMTSU,D8-84-66-13-10-00,802.11ac,-56,81,81.0,5.745,149,168,12,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/19/2019 1:29:48 PM,4/19/2019 1:29:48 PM,1,4/19/2019 1:29:45 PM,81,81
Linksys07448,C0-56-27-1B-9D-C6,802.11n,-58,80,80.0,5.180,36,268,9,Belkin International Inc.,Linksys E2500,Linksys E2500,None,None,300 Mbps,40 MHz,34 - 42,Infrastructure,Not Configured,4/19/2019 1:29:48 PM,4/19/2019 1:29:48 PM,1,4/19/2019 1:29:45 PM,80,80
WLANMTSU,D8-84-66-12-51-60,802.11ac,-61,74,74.0,5.180,36,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,34 - 50,Infrastructure,No,4/19/2019 1:29:48 PM,4/19/2019 1:29:48 PM,1,4/19/2019 1:29:45 PM,74,74
DIRECT-99-HP M477 LaserJet,76-40-BB-75-35-99,802.11n,-68,60,60.0,2.437,6,281,13,,,,WPA2-PSK,CCMP,72 Mbps,20 MHz,4 - 8,Infrastructure,No,4/19/2019 1:29:48 PM,4/19/2019 1:29:48 PM,1,4/19/2019 1:29:45 PM,60,60
WLANMTSU,D8-84-66-12-E3-E0,802.11ac,-71,38,38.0,5.745,149,168,12,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/19/2019 1:29:48 PM,4/19/2019 1:29:48 PM,1,4/19/2019 1:29:45 PM,38,38
DIRECT-61-HP OfficeJet Pro 7720,1A-60-24-65-8C-61,802.11n,-74,32,32.0,2.462,11,468,14,,OfficeJet Pro 7720 Wide Format A,DIRECT-61-HP OfficeJet Pro 7720,WPA2-PSK,CCMP,72 Mbps,20 MHz,9 - 13,Infrastructure,Configured,4/19/2019 1:29:48 PM,4/19/2019 1:29:48 PM,1,4/19/2019 1:29:45 PM,32,32
WLANMTSU,D8-84-66-12-81-B0,802.11ac,-74,32,32.0,5.220,44,168,12,Extreme Networks,,,None,None,1170 Mbps,80 MHz,42 - 58,Infrastructure,No,4/19/2019 1:29:48 PM,4/19/2019 1:29:48 PM,1,4/19/2019 1:29:45 PM,32,32
WLANMTSU,D8-84-66-13-0F-30,802.11ac,-81,18,18.0,5.745,149,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/19/2019 1:29:48 PM,4/19/2019 1:29:48 PM,1,4/19/2019 1:29:45 PM,18,18
WLANMTSU,D8-84-66-12-E3-40,802.11ac,-82,16,16.0,5.805,161,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/19/2019 1:29:48 PM,4/19/2019 1:29:48 PM,1,4/19/2019 1:29:45 PM,16,16
TOYOTA Camry_aa33ca2874d7,74-D7-CA-28-AA-33,802.11n,-83,14,14.0,2.427,4,171,12,Panasonic Corporation Automotive,,,WPA2-PSK,CCMP,72 Mbps,20 MHz,2 - 6,Infrastructure,No,4/19/2019 1:29:48 PM,4/19/2019 1:29:48 PM,1,4/19/2019 1:29:45 PM,14,14
WLANMTSU,D8-84-66-12-E4-00,802.11ac,-83,14,14.0,5.805,161,168,12,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/19/2019 1:29:48 PM,4/19/2019 1:29:48 PM,1,4/19/2019 1:29:45 PM,14,14
WLANMTSU,D8-84-66-13-12-A0,802.11ac,-85,10,10.0,5.220,44,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,42 - 58,Infrastructure,No,4/19/2019 1:29:48 PM,4/19/2019 1:29:48 PM,1,4/19/2019 1:29:45 PM,10,10
WLANMTSU,D8-84-66-13-09-E0,802.11ac,-85,10,10.0,5.805,161,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/19/2019 1:29:48 PM,4/19/2019 1:29:48 PM,1,4/19/2019 1:29:45 PM,10,10
WLANMTSU,D8-84-66-12-7F-28,802.11n,-87,6,6.0,2.462,11,128,10,Extreme Networks,,,None,None,195 Mbps,20 MHz,9 - 13,Infrastructure,No,4/19/2019 1:29:48 PM,4/19/2019 1:29:48 PM,1,4/19/2019 1:29:45 PM,6,6
WLANMTSU,D8-84-66-12-8A-10,802.11ac,-89,2,2.0,5.745,149,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/19/2019 1:29:48 PM,4/19/2019 1:29:48 PM,1,4/19/2019 1:29:45 PM,2,2
