SSID,MAC Address,PHY Type,RSSI,Signal Quality,Average Signal Quality,Frequency,Channel,Information Size,Elements Count,Company,Router Model,Router Name,Security,Cipher,Maximum Speed,Channel Width,Channels Range,BSS Type,WPS Support,First Detection,Last Detection,Detection Count,Start Time,Minimum Signal Quality,Maximum Signal Quality
Linksys11131,C0-56-27-1B-F3-F4,802.11n,-44,90,90.0,2.412,1,297,14,Belkin International Inc.,Linksys E2500,Linksys E2500,None,None,144 Mbps,20 MHz,1 - 3,Infrastructure,Not Configured,4/11/2019 7:28:39 AM,4/11/2019 7:28:39 AM,1,4/11/2019 7:28:36 AM,90,90
Linksys07448,C0-56-27-1B-9D-C5,802.11n,-46,88,88.0,2.437,6,204,14,Belkin International Inc.,,,None,None,144 Mbps,20 MHz,4 - 8,Infrastructure,Not Configured,4/11/2019 7:28:39 AM,4/11/2019 7:28:39 AM,1,4/11/2019 7:28:36 AM,88,88
Linksys11131,C0-56-27-1B-F3-F5,802.11n,-49,86,86.0,5.180,36,275,9,Belkin International Inc.,Linksys E2500,Linksys E2500,None,None,300 Mbps,40 MHz,34 - 42,Infrastructure,Not Configured,4/11/2019 7:28:39 AM,4/11/2019 7:28:39 AM,1,4/11/2019 7:28:35 AM,86,86
FADER,C0-56-27-18-69-65,802.11n,-52,84,84.0,5.180,36,186,10,Belkin International Inc.,,,WPA-PSK + WPA2-PSK,TKIP+CCMP,144 Mbps,20 MHz,34 - 38,Infrastructure,No,4/11/2019 7:28:39 AM,4/11/2019 7:28:39 AM,1,4/11/2019 7:28:35 AM,84,84
Linksys07448,C0-56-27-1B-9D-C6,802.11n,-56,81,81.0,5.220,44,325,11,Belkin International Inc.,Linksys E2500,Linksys E2500,None,None,300 Mbps,40 MHz,42 - 50,Infrastructure,Not Configured,4/11/2019 7:28:39 AM,4/11/2019 7:28:39 AM,1,4/11/2019 7:28:35 AM,81,81
WLANMTSU,D8-84-66-13-10-00,802.11ac,-58,80,80.0,5.745,149,168,12,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/11/2019 7:28:39 AM,4/11/2019 7:28:39 AM,1,4/11/2019 7:28:39 AM,80,80
DIRECT-61-HP OfficeJet Pro 7720,1A-60-24-65-8C-61,802.11n,-64,68,68.0,2.462,11,468,14,,OfficeJet Pro 7720 Wide Format A,DIRECT-61-HP OfficeJet Pro 7720,WPA2-PSK,CCMP,72 Mbps,20 MHz,9 - 13,Infrastructure,Configured,4/11/2019 7:28:39 AM,4/11/2019 7:28:39 AM,1,4/11/2019 7:28:36 AM,68,68
WLANMTSU,D8-84-66-12-51-60,802.11ac,-65,66,66.0,5.180,36,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,34 - 50,Infrastructure,No,4/11/2019 7:28:39 AM,4/11/2019 7:28:39 AM,1,4/11/2019 7:28:35 AM,66,66
WLANMTSU,D8-84-66-12-81-B0,802.11ac,-71,38,38.0,5.220,44,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,42 - 58,Infrastructure,No,4/11/2019 7:28:39 AM,4/11/2019 7:28:39 AM,1,4/11/2019 7:28:35 AM,38,38
WLANMTSU,D8-84-66-12-E3-E0,802.11ac,-74,32,32.0,5.745,149,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/11/2019 7:28:39 AM,4/11/2019 7:28:39 AM,1,4/11/2019 7:28:35 AM,32,32
WLANMTSU,D8-84-66-12-E3-40,802.11ac,-80,20,20.0,5.805,161,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/11/2019 7:28:39 AM,4/11/2019 7:28:39 AM,1,4/11/2019 7:28:35 AM,20,20
WLANMTSU,D8-84-66-13-15-A0,802.11ac,-81,18,18.0,5.745,149,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/11/2019 7:28:39 AM,4/11/2019 7:28:39 AM,1,4/11/2019 7:28:35 AM,18,18
TOYOTA Camry_aa33ca2874d7,74-D7-CA-28-AA-33,802.11n,-82,16,16.0,2.427,4,155,10,Panasonic Corporation Automotive,,,WPA2-PSK,CCMP,72 Mbps,20 MHz,2 - 6,Infrastructure,No,4/11/2019 7:28:39 AM,4/11/2019 7:28:39 AM,1,4/11/2019 7:28:36 AM,16,16
WLANMTSU,D8-84-66-13-0F-30,802.11ac,-84,12,12.0,5.745,149,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/11/2019 7:28:39 AM,4/11/2019 7:28:39 AM,1,4/11/2019 7:28:35 AM,12,12
WLANMTSU,D8-84-66-13-12-A0,802.11ac,-84,12,12.0,5.220,44,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,42 - 58,Infrastructure,No,4/11/2019 7:28:39 AM,4/11/2019 7:28:39 AM,1,4/11/2019 7:28:35 AM,12,12
WLANMTSU,D8-84-66-13-09-E0,802.11ac,-84,12,12.0,5.805,161,168,12,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/11/2019 7:28:39 AM,4/11/2019 7:28:39 AM,1,4/11/2019 7:28:35 AM,12,12
WLANMTSU,D8-84-66-12-E4-00,802.11ac,-86,8,8.0,5.805,161,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/11/2019 7:28:39 AM,4/11/2019 7:28:39 AM,1,4/11/2019 7:28:35 AM,8,8
