SSID,MAC Address,PHY Type,RSSI,Signal Quality,Average Signal Quality,Frequency,Channel,Information Size,Elements Count,Company,Router Model,Router Name,Security,Cipher,Maximum Speed,Channel Width,Channels Range,BSS Type,WPS Support,First Detection,Last Detection,Detection Count,Start Time,Minimum Signal Quality,Maximum Signal Quality
Linksys11131,C0-56-27-1B-F3-F4,802.11n,-31,99,99.0,2.412,1,297,14,Belkin International Inc.,Linksys E2500,Linksys E2500,None,None,144 Mbps,20 MHz,1 - 3,Infrastructure,Not Configured,4/8/2019 3:12:27 PM,4/8/2019 3:12:27 PM,1,4/8/2019 3:12:24 PM,99,99
Linksys11131,C0-56-27-1B-F3-F5,802.11n,-43,90,90.0,5.180,36,275,9,Belkin International Inc.,Linksys E2500,Linksys E2500,None,None,300 Mbps,40 MHz,34 - 42,Infrastructure,Not Configured,4/8/2019 3:12:27 PM,4/8/2019 3:12:27 PM,1,4/8/2019 3:12:24 PM,90,90
WLANMTSU,D8-84-66-13-10-08,802.11n,-54,82,82.0,2.412,1,128,10,Extreme Networks,,,None,None,195 Mbps,20 MHz,1 - 3,Infrastructure,No,4/8/2019 3:12:27 PM,4/8/2019 3:12:27 PM,1,4/8/2019 3:12:24 PM,82,82
WLANMTSU,D8-84-66-13-10-00,802.11ac,-55,82,82.0,5.745,149,168,12,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/8/2019 3:12:27 PM,4/8/2019 3:12:27 PM,1,4/8/2019 3:12:27 PM,82,82
Linksys07448,C0-56-27-1B-9D-C5,802.11n,-55,82,82.0,2.437,6,283,13,Belkin International Inc.,Linksys E2500,Linksys E2500,None,None,144 Mbps,20 MHz,4 - 8,Infrastructure,Not Configured,4/8/2019 3:12:27 PM,4/8/2019 3:12:27 PM,1,4/8/2019 3:12:24 PM,82,82
Linksys07448,C0-56-27-1B-9D-C6,802.11n,-57,80,80.0,5.220,44,268,9,Belkin International Inc.,Linksys E2500,Linksys E2500,None,None,300 Mbps,40 MHz,42 - 50,Infrastructure,Not Configured,4/8/2019 3:12:27 PM,4/8/2019 3:12:27 PM,1,4/8/2019 3:12:24 PM,80,80
WLANMTSU,D8-84-66-12-51-68,802.11n,-62,72,72.0,2.462,11,128,10,Extreme Networks,,,None,None,195 Mbps,20 MHz,9 - 13,Infrastructure,No,4/8/2019 3:12:27 PM,4/8/2019 3:12:27 PM,1,4/8/2019 3:12:25 PM,72,72
DIRECT-61-HP OfficeJet Pro 7720,1A-60-24-65-8C-61,802.11n,-62,72,72.0,2.462,11,468,14,,OfficeJet Pro 7720 Wide Format A,DIRECT-61-HP OfficeJet Pro 7720,WPA2-PSK,CCMP,72 Mbps,20 MHz,9 - 13,Infrastructure,Configured,4/8/2019 3:12:27 PM,4/8/2019 3:12:27 PM,1,4/8/2019 3:12:25 PM,72,72
WLANMTSU,D8-84-66-12-81-B0,802.11ac,-63,70,70.0,5.220,44,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,42 - 58,Infrastructure,No,4/8/2019 3:12:27 PM,4/8/2019 3:12:27 PM,1,4/8/2019 3:12:24 PM,70,70
DIRECT-99-HP M477 LaserJet,76-40-BB-75-35-99,802.11n,-66,64,64.0,2.437,6,281,13,,,,WPA2-PSK,CCMP,72 Mbps,20 MHz,4 - 8,Infrastructure,No,4/8/2019 3:12:27 PM,4/8/2019 3:12:27 PM,1,4/8/2019 3:12:24 PM,64,64
WLANMTSU,D8-84-66-12-E3-40,802.11ac,-77,26,26.0,5.805,161,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/8/2019 3:12:27 PM,4/8/2019 3:12:27 PM,1,4/8/2019 3:12:24 PM,26,26
WLANMTSU,D8-84-66-13-09-E0,802.11ac,-79,22,22.0,5.805,161,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/8/2019 3:12:27 PM,4/8/2019 3:12:27 PM,1,4/8/2019 3:12:24 PM,22,22
WLANMTSU,D8-84-66-13-15-A0,802.11ac,-81,18,18.0,5.745,149,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/8/2019 3:12:27 PM,4/8/2019 3:12:27 PM,1,4/8/2019 3:12:24 PM,18,18
WLANMTSU,D8-84-66-12-E4-00,802.11ac,-83,14,14.0,5.805,161,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/8/2019 3:12:27 PM,4/8/2019 3:12:27 PM,1,4/8/2019 3:12:24 PM,14,14
WLANMTSU,D8-84-66-13-12-A0,802.11ac,-85,10,10.0,5.220,44,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,42 - 58,Infrastructure,No,4/8/2019 3:12:27 PM,4/8/2019 3:12:27 PM,1,4/8/2019 3:12:24 PM,10,10
