SSID,MAC Address,PHY Type,RSSI,Signal Quality,Average Signal Quality,Frequency,Channel,Information Size,Elements Count,Company,Router Model,Router Name,Security,Cipher,Maximum Speed,Channel Width,Channels Range,BSS Type,WPS Support,First Detection,Last Detection,Detection Count,Start Time,Minimum Signal Quality,Maximum Signal Quality
Linksys07448,C0-56-27-1B-9D-C5,802.11n,-47,87,87.0,2.437,6,283,13,Belkin International Inc.,Linksys E2500,Linksys E2500,None,None,144 Mbps,20 MHz,4 - 8,Infrastructure,Not Configured,4/11/2019 6:58:55 AM,4/11/2019 6:58:55 AM,1,4/11/2019 6:58:51 AM,87,87
WLANMTSU,D8-84-66-13-10-00,802.11ac,-53,83,83.0,5.745,149,168,12,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/11/2019 6:58:55 AM,4/11/2019 6:58:55 AM,1,4/11/2019 6:58:55 AM,83,83
Linksys11131,C0-56-27-1B-F3-F5,802.11n,-54,82,82.0,5.180,36,275,9,Belkin International Inc.,Linksys E2500,Linksys E2500,None,None,300 Mbps,40 MHz,34 - 42,Infrastructure,Not Configured,4/11/2019 6:58:55 AM,4/11/2019 6:58:55 AM,1,4/11/2019 6:58:51 AM,82,82
Linksys07448,C0-56-27-1B-9D-C6,802.11n,-56,81,81.0,5.220,44,268,9,Belkin International Inc.,Linksys E2500,Linksys E2500,None,None,300 Mbps,40 MHz,42 - 50,Infrastructure,Not Configured,4/11/2019 6:58:55 AM,4/11/2019 6:58:55 AM,1,4/11/2019 6:58:51 AM,81,81
FADER,C0-56-27-18-69-64,802.11n,-58,80,80.0,2.462,11,208,15,Belkin International Inc.,,,WPA-PSK + WPA2-PSK,TKIP+CCMP,144 Mbps,20 MHz,9 - 13,Infrastructure,No,4/11/2019 6:58:55 AM,4/11/2019 6:58:55 AM,1,4/11/2019 6:58:52 AM,80,80
WLANMTSU,D8-84-66-12-51-60,802.11ac,-58,80,80.0,5.180,36,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,34 - 50,Infrastructure,No,4/11/2019 6:58:55 AM,4/11/2019 6:58:55 AM,1,4/11/2019 6:58:51 AM,80,80
FADER,C0-56-27-18-69-65,802.11n,-63,70,70.0,5.180,36,186,10,Belkin International Inc.,,,WPA-PSK + WPA2-PSK,TKIP+CCMP,144 Mbps,20 MHz,34 - 38,Infrastructure,No,4/11/2019 6:58:55 AM,4/11/2019 6:58:55 AM,1,4/11/2019 6:58:51 AM,70,70
DIRECT-99-HP M477 LaserJet,76-40-BB-75-35-99,802.11n,-69,50,50.0,2.437,6,281,13,,,,WPA2-PSK,CCMP,72 Mbps,20 MHz,4 - 8,Infrastructure,No,4/11/2019 6:58:55 AM,4/11/2019 6:58:55 AM,1,4/11/2019 6:58:52 AM,50,50
DIRECT-61-HP OfficeJet Pro 7720,1A-60-24-65-8C-61,802.11n,-72,36,36.0,2.462,11,468,14,,OfficeJet Pro 7720 Wide Format A,DIRECT-61-HP OfficeJet Pro 7720,WPA2-PSK,CCMP,72 Mbps,20 MHz,9 - 13,Infrastructure,Configured,4/11/2019 6:58:55 AM,4/11/2019 6:58:55 AM,1,4/11/2019 6:58:52 AM,36,36
WLANMTSU,D8-84-66-13-09-E0,802.11ac,-76,28,28.0,5.805,161,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/11/2019 6:58:55 AM,4/11/2019 6:58:55 AM,1,4/11/2019 6:58:51 AM,28,28
WLANMTSU,D8-84-66-12-E3-40,802.11ac,-78,24,24.0,5.805,161,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/11/2019 6:58:55 AM,4/11/2019 6:58:55 AM,1,4/11/2019 6:58:51 AM,24,24
WLANMTSU,D8-84-66-12-E3-E0,802.11ac,-79,22,22.0,5.745,149,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/11/2019 6:58:55 AM,4/11/2019 6:58:55 AM,1,4/11/2019 6:58:51 AM,22,22
WLANMTSU,D8-84-66-12-81-B0,802.11ac,-79,22,22.0,5.220,44,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,42 - 58,Infrastructure,No,4/11/2019 6:58:55 AM,4/11/2019 6:58:55 AM,1,4/11/2019 6:58:51 AM,22,22
WLANMTSU,D8-84-66-13-15-A0,802.11ac,-82,16,16.0,5.745,149,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/11/2019 6:58:55 AM,4/11/2019 6:58:55 AM,1,4/11/2019 6:58:51 AM,16,16
WLANMTSU,D8-84-66-12-E4-00,802.11ac,-85,10,10.0,5.805,161,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/11/2019 6:58:55 AM,4/11/2019 6:58:55 AM,1,4/11/2019 6:58:51 AM,10,10
WLANMTSU,D8-84-66-12-8A-10,802.11ac,-88,4,4.0,5.745,149,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/11/2019 6:58:55 AM,4/11/2019 6:58:55 AM,1,4/11/2019 6:58:51 AM,4,4
